Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2024-04-12 Kl. 09-10;0.89881;0.89881;0.56483;0.31716;0.72826
2024-04-12 Kl. 10-11;0.61248;0.61248;0.56483;0.31240;0.61248
2024-04-12 Kl. 11-12;0.37394;0.37394;0.36231;0.28985;0.37394
2024-04-12 Kl. 12-13;0.29186;0.06698;0.33458;0.26766;0.33458
2024-04-12 Kl. 13-14;0.07235;-0.00093;0.32004;0.25603;0.32004
2024-04-12 Kl. 14-15;0.01176;0.00015;0.29709;0.23767;0.29709
2024-04-12 Kl. 15-16;0.00625;0.00625;0.22228;0.17782;0.22228
2024-04-12 Kl. 16-17;0.39689;0.39689;0.25016;0.20013;0.39689
2024-04-12 Kl. 17-18;0.57239;0.57239;0.39399;0.31519;0.57239
2024-04-12 Kl. 18-19;0.63253;0.63253;0.39268;0.31414;0.63253
2024-04-12 Kl. 19-20;0.66173;0.66173;0.39151;0.31321;0.66173
2024-04-12 Kl. 20-21;0.69863;0.69863;0.33980;0.27184;0.68585
2024-04-12 Kl. 21-22;0.66449;0.66449;0.27849;0.22279;0.66449
2024-04-12 Kl. 22-23;0.64735;0.64735;0.21603;0.17282;0.64735
2024-04-12 Kl. 23-00;0.62250;0.62250;0.14804;0.11843;0.62250
2024-04-13 Kl. 00-01;0.49505;0.49505;0.17250;0.15412;0.49505
2024-04-13 Kl. 01-02;0.37574;0.37574;0.21600;0.17280;0.37574
2024-04-13 Kl. 02-03;0.28065;0.28065;0.28065;0.22452;0.28065
2024-04-13 Kl. 03-04;0.25413;0.25413;0.30805;0.24644;0.30805
2024-04-13 Kl. 04-05;0.25310;0.25310;0.32761;0.26209;0.32761
2024-04-13 Kl. 05-06;0.33791;0.33791;0.33675;0.26940;0.33791
2024-04-13 Kl. 06-07;0.40343;0.40343;0.33776;0.27021;0.40343
2024-04-13 Kl. 07-08;0.32124;0.32124;0.32139;0.25711;0.32124
2024-04-13 Kl. 08-09;0.32573;0.32573;0.32573;0.26058;0.32573
2024-04-13 Kl. 09-10;0.32530;0.32530;0.32530;0.26024;0.32530
2024-04-13 Kl. 10-11;-0.00023;-0.00023;0.32500;0.26000;0.32500
2024-04-13 Kl. 11-12;-0.04685;-0.04685;0.22295;0.19970;0.22295
2024-04-13 Kl. 12-13;-0.09579;-0.09579;0.18918;0.19019;0.18918
2024-04-13 Kl. 13-14;-0.24133;-0.24133;0.15395;0.17280;0.15395
2024-04-13 Kl. 14-15;-0.35023;-0.35023;0.07118;0.15992;0.07118
2024-04-13 Kl. 15-16;-0.36647;-0.36647;0.06959;0.15957;0.06959
2024-04-13 Kl. 16-17;-0.11678;-0.11678;0.14584;0.15934;0.14584
2024-04-13 Kl. 17-18;0.18106;0.18106;0.15628;0.15934;0.18106
2024-04-13 Kl. 18-19;0.32921;0.32921;0.32921;0.26337;0.32921
2024-04-13 Kl. 19-20;0.51810;0.51810;0.36110;0.28888;0.51810
2024-04-13 Kl. 20-21;0.54100;0.54100;0.36371;0.29097;0.54100
2024-04-13 Kl. 21-22;0.50230;0.50230;0.37386;0.29909;0.50230
2024-04-13 Kl. 22-23;0.29863;0.29863;0.32631;0.26105;0.32631
2024-04-13 Kl. 23-00;0.10524;0.10524;0.34255;0.27404;0.34255
2024-04-14 Kl. 00-01;0.00930;0.00930;0.34553;0.27642;0.18984
2024-04-14 Kl. 01-02;0.01250;0.01250;0.35003;0.28002;0.31834
2024-04-14 Kl. 02-03;0.01381;0.01381;0.32881;0.26305;0.32881
2024-04-14 Kl. 03-04;0.01701;0.01701;0.33128;0.26502;0.33128
2024-04-14 Kl. 04-05;0.03504;0.03504;0.33928;0.27142;0.33928
2024-04-14 Kl. 05-06;0.08896;0.08896;0.33535;0.26828;0.30816
2024-04-14 Kl. 06-07;0.19188;0.19188;0.34393;0.27514;0.34393
2024-04-14 Kl. 07-08;0.19508;0.19508;0.35526;0.28421;0.30803
2024-04-14 Kl. 08-09;0.11105;0.11105;0.35395;0.28316;0.30555
2024-04-14 Kl. 09-10;0.00000;0.00000;0.36210;0.28968;0.36210
2024-04-14 Kl. 10-11;0.01469;0.01469;0.36603;0.29282;0.36603
2024-04-14 Kl. 11-12;0.07181;0.07181;0.33695;0.26956;0.33695
2024-04-14 Kl. 12-13;0.08243;0.08243;0.33651;0.26921;0.33651
2024-04-14 Kl. 13-14;0.07414;0.07414;0.34610;0.27688;0.34610
2024-04-14 Kl. 14-15;0.06381;0.06381;0.36399;0.29119;0.36399
2024-04-14 Kl. 15-16;0.14521;0.14521;0.37576;0.30061;0.37576
2024-04-14 Kl. 16-17;0.36108;0.36108;0.37125;0.29700;0.37125
2024-04-14 Kl. 17-18;0.54801;0.54801;0.42649;0.30514;0.54801
2024-04-14 Kl. 18-19;0.61474;0.61474;0.43318;0.31049;0.61474
2024-04-14 Kl. 19-20;0.65456;0.65456;0.43826;0.31154;0.65456
2024-04-14 Kl. 20-21;0.68916;0.68916;0.52185;0.31049;0.68916
2024-04-14 Kl. 21-22;0.72535;0.72535;0.55106;0.31293;0.72535
2024-04-14 Kl. 22-23;0.72274;0.72274;0.55106;0.32352;0.72274
2024-04-14 Kl. 23-00;0.69425;0.69425;0.52591;0.36050;0.69425
2024-04-15 Kl. 00-01;0.68408;0.68408;0.52591;0.35061;0.68408
2024-04-15 Kl. 01-02;0.66634;0.66634;0.54045;0.35061;0.66634
2024-04-15 Kl. 02-03;0.65209;0.65209;0.52591;0.35061;0.65209
2024-04-15 Kl. 03-04;0.62709;0.62709;0.52591;0.37666;0.62709
2024-04-15 Kl. 04-05;0.59279;0.59279;0.53391;0.40213;0.59279
2024-04-15 Kl. 05-06;0.56793;0.56793;0.54685;0.40410;0.56793
2024-04-15 Kl. 06-07;0.59351;0.59351;0.59308;0.32491;0.59351
2024-04-15 Kl. 07-08;0.64540;0.64540;0.62288;0.39236;0.64540
2024-04-15 Kl. 08-09;0.71533;0.71533;0.62738;0.41597;0.71533
2024-04-15 Kl. 09-10;0.72013;0.72013;0.61198;0.48795;0.72013
2024-04-15 Kl. 10-11;0.72390;0.72390;0.63639;0.50911;0.72390
2024-04-15 Kl. 11-12;0.66474;0.66474;0.66474;0.52063;0.66474
2024-04-15 Kl. 12-13;0.62505;0.62505;0.62505;0.50004;0.62505
2024-04-15 Kl. 13-14;0.50644;0.50644;0.54786;0.38247;0.54786
2024-04-15 Kl. 14-15;0.28345;0.27866;0.54918;0.31689;0.54918
2024-04-15 Kl. 15-16;0.43521;0.13751;0.54670;0.34817;0.54670
2024-04-15 Kl. 16-17;0.51720;0.51720;0.54205;0.37817;0.54205
2024-04-15 Kl. 17-18;0.62854;0.62854;0.65529;0.33014;0.62854
2024-04-15 Kl. 18-19;0.64526;0.64526;0.64526;0.33026;0.64526
2024-04-15 Kl. 19-20;0.68204;0.68204;0.68204;0.33573;0.68204
2024-04-15 Kl. 20-21;0.70020;0.70020;0.65180;0.33828;0.70020
2024-04-15 Kl. 21-22;0.68756;0.68756;0.66764;0.33049;0.68756
2024-04-15 Kl. 22-23;0.65544;0.65544;0.65544;0.34235;0.65544
2024-04-15 Kl. 23-00;0.57606;0.57606;0.50891;0.35712;0.57606
